cut,w_jets,z_jets,ww,wz,zz,Tau_LQ_0250,LQ_LQ_0250,Tau_LQ_0500,LQ_LQ_0500,Tau_LQ_0750,LQ_LQ_0750,Tau_LQ_1000,LQ_LQ_1000,Tau_LQ_1250,LQ_LQ_1250,Tau_LQ_1500,LQ_LQ_1500,Tau_LQ_1750,LQ_LQ_1750,Tau_LQ_2000,LQ_LQ_2000,Tau_LQ_2250,LQ_LQ_2250,Tau_LQ_2500,LQ_LQ_2500,ttbar,stop
xs,1.465483e+05,4.302927e+04,6.550736e+01,2.469184e+01,9.562416e+00,182.3,937.9,5.944,20.02,0.6093,1.527,0.1029,0.19567,0.02291,0.0330183,0.006099,0.00654102,0.001836,0.001428408,0.0006038,0.000331919,0.0002119,8.02268e-05,7.806e-05,1.997652e-05,5.046960e+02,241.17
All_events,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
At least two good hadronic taus,0.0001225718232923995,0.0012357899555874307,0.00101472,0.002240507614213198,0.0036301,0.110575,0.09839666666666666,0.10763833333333334,0.08643333333333333,0.108505,0.08432,0.10811333333333334,0.083705,0.10785833333333333,0.08284166666666666,0.10798333333333333,0.08097,0.108015,0.07997833333333333,0.10839666666666667,0.07987,0.10809666666666666,0.07912666666666666,0.10696666666666667,0.07744833333333333,0.002947762498842938,0.0014752173913043479
Exactly one b jet,4.392913028009644e-06,1.675171132240603e-05,4.864e-05,0.00013370558375634518,0.0003959,0.058883333333333336,0.046005,0.057991666666666664,0.03825,0.058825,0.03656,0.05914666666666667,0.03589166666666667,0.058723333333333336,0.0354,0.05898333333333333,0.034535,0.05848,0.03377666666666667,0.05857,0.033808333333333336,0.058403333333333335,0.033486666666666665,0.058221666666666665,0.03251333333333333,0.00142167460325623,0.0005693043478260869
nEvents (137/fb),88197.02927346517,98751.50559517965,436.5200846848,452.2968527269036,518.6491877328,1470617.1383333334,5911288.2615,47224.23793333334,104909.805,4910.3639324999995,7648.31544,833.808304,962.1403710833334,184.31316463333337,160.13215134,49.28429095,30.947495220900006,14.709591359999997,6.6098199405599996,4.8449455420000005,1.5373630622583336,1.6954662876666668,0.3680543509786666,0.6226353120999999,0.0889819457432,98299.34752240588,18809.980750434777
