cut,w_jets,z_jets,ww,wz,zz,Tau_LQ_0250,LQ_LQ_0250,Tau_LQ_0500,LQ_LQ_0500,Tau_LQ_0750,LQ_LQ_0750,Tau_LQ_1000,LQ_LQ_1000,Tau_LQ_1250,LQ_LQ_1250,Tau_LQ_1500,LQ_LQ_1500,Tau_LQ_1750,LQ_LQ_1750,Tau_LQ_2000,LQ_LQ_2000,Tau_LQ_2250,LQ_LQ_2250,Tau_LQ_2500,LQ_LQ_2500,ttbar,stop
xs,1.465483e+05,4.302927e+04,6.550736e+01,2.469184e+01,9.562416e+00,182.3,937.9,5.944,20.02,0.6093,1.527,0.1029,0.19567,0.02291,0.0330183,0.006099,0.00654102,0.001836,0.001428408,0.0006038,0.000331919,0.0002119,8.02268e-05,7.806e-05,1.997652e-05,5.046960e+02,241.17
All_events,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
At least two good hadronic taus,0.0001225718232923995,0.0012357899555874307,0.00101472,0.002240507614213198,0.0036301,0.110575,0.09839666666666666,0.10763833333333334,0.08643333333333333,0.108505,0.08432,0.10811333333333334,0.083705,0.10785833333333333,0.08284166666666666,0.10798333333333333,0.08097,0.108015,0.07997833333333333,0.10839666666666667,0.07987,0.10809666666666666,0.07912666666666666,0.10696666666666667,0.07744833333333333,0.002947762498842938,0.0014752173913043479
At least two b jet,3.8199243721822983e-07,7.5652889843124e-07,1.68e-06,9.644670050761421e-06,7.47e-05,0.014108333333333334,0.035118333333333335,0.016835,0.03555,0.017703333333333335,0.036368333333333336,0.018238333333333332,0.03670166666666667,0.01863,0.03657333333333333,0.018358333333333334,0.03585833333333333,0.018686666666666667,0.03563,0.01882,0.035508333333333336,0.01869,0.035111666666666666,0.018126666666666666,0.034251666666666666,0.000609612358452725,0.00010469565217391305
nEvents (137/fb),7669.306893344798,4459.745413975855,15.077173977600001,32.62581701522842,97.86080910240001,352357.0358333333,4512435.422166667,13709.211879999999,97504.407,1477.7698169999999,7608.218965,257.11125649999997,983.8538709833333,58.4734221,165.439733004,15.339544075000001,32.1333603435,4.70029464,6.97250225448,1.556801692,1.6146669973583336,0.5425763069999999,0.3859148423286667,0.19385056119999997,0.0937393872754,42150.64188404695,3459.174709565217
