cut,w_jets,z_jets,ww,wz,zz,Tau_LQ_0250,LQ_LQ_0250,Tau_LQ_0500,LQ_LQ_0500,Tau_LQ_0750,LQ_LQ_0750,Tau_LQ_1000,LQ_LQ_1000,Tau_LQ_1250,LQ_LQ_1250,Tau_LQ_1500,LQ_LQ_1500,Tau_LQ_1750,LQ_LQ_1750,Tau_LQ_2000,LQ_LQ_2000,Tau_LQ_2250,LQ_LQ_2250,Tau_LQ_2500,LQ_LQ_2500,ttbar,stop
xs,1.465483e+05,4.302927e+04,6.550736e+01,2.469184e+01,9.562416e+00,182.3,937.9,5.944,20.02,0.6093,1.527,0.1029,0.19567,0.02291,0.0330183,0.006099,0.00654102,0.001836,0.001428408,0.0006038,0.000331919,0.0002119,8.02268e-05,7.806e-05,1.997652e-05,5.046960e+02,241.17
All_events,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Exactly one good hadronic tau,0.02292374814990319,0.018806605923880657,0.05475208,0.04807126903553299,0.0418863,0.43772666666666665,0.42006166666666667,0.43725166666666665,0.39953666666666665,0.43732666666666664,0.39543,0.4383633333333333,0.39306166666666664,0.4388633333333333,0.39225666666666664,0.43834,0.390755,0.43784,0.3890883333333333,0.43743333333333334,0.38624,0.437355,0.3856983333333333,0.43774833333333335,0.3842233333333333,0.084343313209022,0.0609415652173913
At Least one good leptons,0.00034441393120688646,0.0006648808261641413,0.00636992,0.004511370558375635,0.0038889,0.10145666666666667,0.08793333333333334,0.12181166666666667,0.09864,0.13031833333333334,0.10151666666666667,0.13371833333333333,0.10176666666666667,0.13418333333333332,0.10087333333333333,0.13490833333333332,0.098905,0.13351,0.09772,0.13328,0.09548,0.13270833333333334,0.09487333333333334,0.13182,0.09398166666666667,0.0121667403758138,0.004984347826086957
Exactly one b jet,7.4966015804077606e-06,9.996989014984244e-06,0.00019888,0.0002684263959390863,0.0003695,0.05479,0.04064333333333333,0.067535,0.04318,0.07217166666666666,0.04347666666666666,0.074125,0.04249,0.07471166666666666,0.04197666666666667,0.07508333333333334,0.040821666666666666,0.073905,0.04054166666666666,0.07429166666666667,0.03938166666666667,0.07344833333333334,0.038961666666666665,0.07332,0.038295,0.005949829783295108,0.0020468695652173913
nEvents (137/fb),150510.14778189163,58932.350113252374,1784.8502146816002,908.028001981726,484.063841544,1368385.729,5222355.379666666,54995.64148,118431.5132,6024.464920499999,9095.275189999998,1044.9623625,1139.0205070999998,234.49526681666663,189.881749701,62.73685525,36.581101319700004,18.58947246,7.933675616999999,6.145451241666668,1.7907987083116668,2.132227151166667,0.4282304679886667,0.7841002104,0.10480511417579999,411391.17504645744,67629.16402695651
