cut,w_jets,z_jets,ww,wz,zz,Tau_LQ_0250,LQ_LQ_0250,Tau_LQ_0500,LQ_LQ_0500,Tau_LQ_0750,LQ_LQ_0750,Tau_LQ_1000,LQ_LQ_1000,Tau_LQ_1250,LQ_LQ_1250,Tau_LQ_1500,LQ_LQ_1500,Tau_LQ_1750,LQ_LQ_1750,Tau_LQ_2000,LQ_LQ_2000,Tau_LQ_2250,LQ_LQ_2250,Tau_LQ_2500,LQ_LQ_2500,ttbar,stop
xs,1.465483e+05,4.302927e+04,6.550736e+01,2.469184e+01,9.562416e+00,182.3,937.9,5.944,20.02,0.6093,1.527,0.1029,0.19567,0.02291,0.0330183,0.006099,0.00654102,0.001836,0.001428408,0.0006038,0.000331919,0.0002119,8.02268e-05,7.806e-05,1.997652e-05,5.046960e+02,241.17
All_events,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Exactly one good hadronic tau,0.02292374814990319,0.018806605923880657,0.05475208,0.04807126903553299,0.0418863,0.43772666666666665,0.42006166666666667,0.43725166666666665,0.39953666666666665,0.43732666666666664,0.39543,0.4383633333333333,0.39306166666666664,0.4388633333333333,0.39225666666666664,0.43834,0.390755,0.43784,0.3890883333333333,0.43743333333333334,0.38624,0.437355,0.3856983333333333,0.43774833333333335,0.3842233333333333,0.084343313209022,0.0609415652173913
At Least one good leptons,0.00034441393120688646,0.0006648808261641413,0.00636992,0.004511370558375635,0.0038889,0.10145666666666667,0.08793333333333334,0.12181166666666667,0.09864,0.13031833333333334,0.10151666666666667,0.13371833333333333,0.10176666666666667,0.13418333333333332,0.10087333333333333,0.13490833333333332,0.098905,0.13351,0.09772,0.13328,0.09548,0.13270833333333334,0.09487333333333334,0.13182,0.09398166666666667,0.0121667403758138,0.004984347826086957
At least two b jet,5.252396011750661e-07,3.2422667075624576e-07,8.56e-06,1.685279187817259e-05,5.61e-05,0.013165,0.032876666666666665,0.018695,0.04239,0.021853333333333332,0.04550166666666667,0.022816666666666666,0.04717333333333333,0.023506666666666665,0.04715333333333333,0.023383333333333332,0.046551666666666665,0.023635,0.04586333333333333,0.023165,0.045065,0.023518333333333332,0.04457833333333333,0.022995,0.044798333333333336,0.002772300445340382,0.0003567826086956522
nEvents (137/fb),10545.296978349099,1911.3194631325096,76.82179121920001,57.00932236345178,73.49386065120001,328797.1915,4224398.516333332,15223.86196,116264.74859999999,1824.1873319999997,9518.903165000002,321.653395,1264.5656402666668,73.77966946666666,213.298438122,19.53824815,41.7158674299,5.944958819999999,8.97508265688,1.9162226990000002,2.0492363736950003,0.6827442721666667,0.4899636534753334,0.2459135889,0.12260332784659998,191686.14554192682,11788.20085826087
