MET(GeV),#phi_{MET},light_jets_multiplicity,pT_{b_{1}}(GeV),#eta_{b_{1}},#phi_{b_{1}},Energy_{b_{1}}(GeV),Mass_{b_{1}}(GeV),#Delta R_{b_{1}b_{2}},#Delta #eta_{b_{1}b_{2}},#Delta #phi_{b_{1}b_{2}},#Delta pT_{b_{1}b_{2}}(GeV),#Delta #vec{pT}_{b_{1}b_{2}}(GeV),#Delta #vec{p}_{b_{1}b_{2}}(GeV),#Delta R_{b_{1}#tau_{1}},#Delta #eta_{b_{1}#tau_{1}},#Delta #phi_{b_{1}#tau_{1}},#Delta pT_{b_{1}#tau_{1}}(GeV),#Delta #vec{pT}_{b_{1}#tau_{1}}(GeV),#Delta #vec{p}_{b_{1}#tau_{1}}(GeV),#Delta R_{b_{1}#tau_{2}},#Delta #eta_{b_{1}#tau_{2}},#Delta #phi_{b_{1}#tau_{2}},#Delta pT_{b_{1}#tau_{2}}(GeV),#Delta #vec{pT}_{b_{1}#tau_{2}}(GeV),#Delta #vec{p}_{b_{1}#tau_{2}}(GeV),pT_{b_{2}}(GeV),#eta_{b_{2}},#phi_{b_{2}},Energy_{b_{2}}(GeV),Mass_{b_{2}}(GeV),#Delta R_{b_{2}#tau_{1}},#Delta #eta_{b_{2}#tau_{1}},#Delta #phi_{b_{2}#tau_{1}},#Delta pT_{b_{2}#tau_{1}}(GeV),#Delta #vec{pT}_{b_{2}#tau_{1}}(GeV),#Delta #vec{p}_{b_{2}#tau_{1}}(GeV),#Delta R_{b_{2}#tau_{2}},#Delta #eta_{b_{2}#tau_{2}},#Delta #phi_{b_{2}#tau_{2}},#Delta pT_{b_{2}#tau_{2}}(GeV),#Delta #vec{pT}_{b_{2}#tau_{2}}(GeV),#Delta #vec{p}_{b_{2}#tau_{2}}(GeV),pT_{#tau_{1}}(GeV),#eta_{#tau_{1}},#phi_{#tau_{1}},Energy_{#tau_{1}}(GeV),Mass_{#tau_{1}}(GeV),#Delta R_{#tau_{1}#tau_{2}},#Delta #eta_{#tau_{1}#tau_{2}},#Delta #phi_{#tau_{1}#tau_{2}},#Delta pT_{#tau_{1}#tau_{2}}(GeV),#Delta #vec{pT}_{#tau_{1}#tau_{2}}(GeV),#Delta #vec{p}_{#tau_{1}#tau_{2}}(GeV),pT_{#tau_{2}}(GeV),#eta_{#tau_{2}},#phi_{#tau_{2}},Energy_{#tau_{2}}(GeV),Mass_{#tau_{2}}(GeV),Q_{#tau_{1}}Q_{#tau_{2}},sT(GeV)
68.49988556,-0.964367151,1,239.4191589,1.810014248,1.499646306,751.2647828,16.65238953,3.115139857,2.135649234,-2.267840091,150.0387497,304.6066675,801.6477421,1.826947687,1.175822616,-1.398277164,150.5526581,240.65327,694.7002528,1.396339813,1.168898761,0.763832808,215.1737576,222.5421629,730.0152717,89.38040924,-0.325634986,-2.51569891,94.70402364,10.12432098,1.295147414,-0.959826618,0.869562928,0.513908386,75.08122123,117.0794742,3.182082187,-0.966750473,3.031672899,65.13500786,113.5106513,122.5726679,88.86650085,0.634191632,2.89792347,110.0198362,24.11445045,2.162121057,-0.006923854,2.162109971,64.62109947,104.3420888,113.0780972,24.24540138,0.641115487,0.735813498,29.57449839,3.196827173,-1,510.411356
8.599965096,-1.431576371,1,44.36037064,-0.764584661,-2.745718002,58.26318485,5.82986021,1.286753869,0.134758711,1.279677931,13.44645691,46.22002808,46.55987618,3.129925959,-1.623012424,-2.676241241,7.578086853,78.97542904,107.4903053,0.656860277,0.411854029,-0.511704683,16.5083313,24.27013915,24.52768755,30.91391373,-0.899343371,2.257789373,44.74297214,6.409678459,2.916492246,-1.757771134,2.327266134,-5.868370056,62.20531431,91.64699903,1.812686815,0.277095318,-1.791382615,3.06187439,45.91502541,46.81988696,36.78228378,0.858427763,-0.069476761,51.33971728,3.948871136,2.97084163,2.034866452,2.164536558,8.930244446,57.22738331,95.50703516,27.85203934,-1.176438689,-2.234013319,49.59026188,3.67634511,-1,148.5085726
14.64027882,1.856981874,0,67.82079315,-1.781062007,-1.13388896,207.3041155,11.039505,1.298166636,-0.876567245,0.957531452,18.81664658,56.35112147,155.5324914,3.356887757,-1.687881656,-2.901680708,-3.869903564,138.5097213,234.2355662,3.063688089,-2.060836405,-2.266966701,17.60800171,107.1855045,235.6098007,49.00414658,-0.904494762,-2.091420412,71.93536739,14.52352047,2.556144928,-0.811314411,2.423973147,-22.68655014,113.2889048,121.5080757,3.279948254,-1.18426916,3.058687154,-1.208644867,99.13171914,118.4604451,71.69069672,-0.093180351,1.767791748,73.39488176,14.23020649,0.736177367,-0.372954749,0.634714007,21.47790527,43.16805764,47.97097503,50.21279144,0.279774398,1.133077741,52.72680657,7.499002934,1,253.3687067
31.28573227,1.317824364,1,92.92913055,-1.840469003,0.622761726,300.9245683,22.5419693,3.522592,-2.126165271,2.808571815,16.54386139,166.9951491,349.87404,2.024152619,-1.388638139,-1.472711086,69.50452232,93.58520438,289.9004639,4.534463484,-3.985407948,-2.16284132,69.99362183,107.4277874,396.7573193,76.38526917,0.285696268,-2.185810089,79.9147451,7.893998623,2.133438425,0.737527132,2.001902405,52.96066093,88.76276394,94.72263258,2.275418547,-1.859242678,1.311772172,53.44976044,73.91396898,104.9370979,23.42460823,-0.451830864,2.095472813,26.37913181,5.224224567,2.686911458,-2.59676981,-0.690130234,0.489099503,15.68843158,108.695382,22.93550873,2.144938946,2.785603046,99.30574167,1.48488462,1,246.9602489
38.31273651,-1.559578657,3,67.98629761,-0.726062119,-0.186169729,87.08451586,8.094182968,2.245445703,0.457125485,-2.198422775,30.04729462,95.34570018,95.37357063,2.411803424,-0.901363745,2.237038031,32.82232285,93.88119643,111.4226046,1.175327831,-0.604548544,-1.007926866,42.33415222,58.47157848,77.38495803,37.93900299,-1.183187604,2.012253046,68.18520604,7.767555714,2.293377165,-1.35848923,-1.847724501,2.775028229,58.35543781,85.37390455,1.59512766,-1.061674029,1.190495908,12.2868576,37.07944757,64.67953521,35.16397476,0.175301626,-2.42320776,36.2852937,6.459718227,3.052684478,0.296815202,3.03822041,9.511829376,60.73689245,61.44790671,25.65214539,-0.121513575,0.821757138,26.17344578,4.153621674,-1,205.0541573
30.33230972,-2.011075258,3,55.01996231,2.194493771,1.20761025,250.1881842,10.21269608,0.864129242,0.0844028,-0.859997392,24.46377945,42.0370567,126.8412851,1.916702694,0.735568285,-1.769940257,-1.394615173,86.24327509,155.238967,4.045154386,3.928493023,0.96447736,29.51260567,45.5890425,317.1190193,30.55618286,2.110090971,2.067607641,127.9666101,4.68102932,1.118933648,0.651165485,-0.909942865,-25.85839462,44.72317232,45.70148884,4.255083755,3.844090223,1.824474752,5.048826218,44.44677312,199.1746741,56.41457748,1.458925486,2.977550507,128.245582,9.586194038,4.203784972,3.192924738,2.734417617,30.90722084,80.47303549,201.5122899,25.50735664,-1.733999252,0.243132889,74.72456816,6.048538685,-1,197.830389
67.67003632,1.876446366,1,38.6961937,-1.831831336,-2.060011148,124.5101409,11.97495461,1.87729217,-1.568044484,-1.032212377,0.42092514,37.98696952,114.0358873,2.611559605,-2.57475698,0.436886787,9.350406647,17.34216828,142.6582834,4.295737923,-3.194939971,2.871536676,11.81397438,65.00094839,179.0457492,38.27526855,-0.263786852,-1.027798772,40.66596361,9.186858177,1.780933015,-1.006712496,1.469099164,8.929481506,45.80511814,57.09094268,2.882447886,-1.626895487,-2.379436255,11.39304924,60.63160798,84.81466289,29.34578705,0.742925644,-2.496897936,38.00401245,3.697308779,2.512398659,-0.620182991,2.434649889,2.463567734,52.75869944,58.48094671,26.88221931,1.363108635,1.351637483,56.22569324,5.342387199,1,200.8695049
23.72616959,2.510825634,1,71.85644531,1.582598567,2.343696356,182.5557226,10.30031109,1.049591062,1.016746879,-0.260513306,16.71046448,23.38059451,136.6216243,2.42251983,0.447221398,2.380881213,12.58561325,121.8455758,148.4435749,3.097997751,0.495477438,3.058119059,44.35519981,99.28841461,164.6611129,55.14598083,0.565851688,2.604209661,64.52260307,6.317098618,2.702096274,-0.56952548,2.641394518,-4.124851227,110.8617671,121.5405038,3.010032555,-0.521269441,-2.964552943,27.64473534,82.35990342,82.42390436,59.27083206,1.135377169,-0.037184857,103.2869412,17.70833206,0.678954892,0.04825604,0.677237846,31.76958656,41.57856155,62.43013282,27.5012455,1.087121129,-0.714422703,45.92244091,6.794176102,-1,237.5006733
