MET(GeV),#phi_{MET},light_jets_multiplicity,pT_{b_{1}}(GeV),#eta_{b_{1}},#phi_{b_{1}},Energy_{b_{1}}(GeV),Mass_{b_{1}}(GeV),#Delta R_{b_{1}#tau_{1}},#Delta #eta_{b_{1}#tau_{1}},#Delta #phi_{b_{1}#tau_{1}},#Delta pT_{b_{1}#tau_{1}}(GeV),#Delta #vec{pT}_{b_{1}#tau_{1}}(GeV),#Delta #vec{p}_{b_{1}#tau_{1}}(GeV),#Delta R_{b_{1}#tau_{2}},#Delta #eta_{b_{1}#tau_{2}},#Delta #phi_{b_{1}#tau_{2}},#Delta pT_{b_{1}#tau_{2}}(GeV),#Delta #vec{pT}_{b_{1}#tau_{2}}(GeV),#Delta #vec{p}_{b_{1}#tau_{2}}(GeV),pT_{#tau_{1}}(GeV),#eta_{#tau_{1}},#phi_{#tau_{1}},Energy_{#tau_{1}}(GeV),Mass_{#tau_{1}}(GeV),#Delta R_{#tau_{1}#tau_{2}},#Delta #eta_{#tau_{1}#tau_{2}},#Delta #phi_{#tau_{1}#tau_{2}},#Delta pT_{#tau_{1}#tau_{2}}(GeV),#Delta #vec{pT}_{#tau_{1}#tau_{2}}(GeV),#Delta #vec{p}_{#tau_{1}#tau_{2}}(GeV),pT_{#tau_{2}}(GeV),#eta_{#tau_{2}},#phi_{#tau_{2}},Energy_{#tau_{2}}(GeV),Mass_{#tau_{2}}(GeV),Q_{#tau_{1}}Q_{#tau_{2}},sT(GeV),mT(GeV)
31.7291088104248,0.17684771120548248,4,49.680572509765625,-1.3179756402969358,1.2246328592300415,99.55753702792113,4.6523985862731685,1.0263673105411435,-0.2545150518417356,0.9943097829818726,-116.77925109863281,145.47019638245123,192.5686526123419,3.0429459342021934,-0.8062171936035154,-2.934200708066122,-51.82077026367189,150.46546609003482,153.81171889074307,166.45982360839844,-1.0634605884552002,0.23032307624816892,270.785724227823,23.071554183959883,2.418443454569257,-0.5517021417617798,2.354674816131592,64.95848083496092,248.73572502229723,294.7223383780323,101.50134277343751,-0.5117584466934204,-2.124351739883423,115.77401691438041,12.60845279693607,-1.0,349.37084770202637,2139.779857346695
24.76926612854004,0.6436219811439514,0,31.8817138671875,0.9268761277198793,1.142407774925232,47.09503058966781,6.909343719482422,3.1080325915352502,1.818873643875122,-2.5202311913119715,-29.222759246826172,88.9841189551432,130.89245986733746,4.129597354774877,3.1293237805366525,2.6946070194244385,-17.59748077392578,79.43321359096369,267.1378394984356,61.10447311401367,-0.8919975161552429,-2.620546340942383,87.14908023105029,3.7390472888948283,1.690752814327035,1.3104501366615304,-1.0683470964431763,11.62527847290039,57.18363910067735,169.02851281529416,49.47919464111328,-2.2024476528167733,-1.5521992444992065,226.61757225604504,5.243860244751324,-1.0,167.2346477508545,652.9006280842278
18.90690040588379,1.0243797302246094,1,126.84040069580077,1.6111010313034053,-1.8735439777374268,331.9888614867348,33.52527999877952,2.584775833370328,0.7351531386375424,-2.4780266284942627,54.86947631835936,188.81654170264324,300.3256122002879,2.673483767704167,1.1862589418888088,2.395893398915426,85.81528091430663,159.42672765956675,328.31424873877256,71.9709243774414,0.8759478926658629,0.6044826507568359,101.62308875223998,6.830718994140625,1.47970438753553,0.45110580325126626,-1.4092652797698975,30.945804595947266,76.89693688453993,93.65505782659854,41.02511978149414,0.42484208941459667,2.0137479305267334,44.82855863544419,2.010082006454397,-1.0,258.7433452606201,1188.3756737060517
126.77799987792967,-0.29225167632102966,0,299.718017578125,0.7570506334304811,2.683816432952881,395.1224981064849,64.71212005615212,3.0566707998759166,-0.5573049783706664,3.0054363310337067,167.9032745361328,430.68462627048564,431.2249665944548,2.721564562450837,-0.024455487728118896,-2.721454683934347,239.60729217529297,355.44770505850533,406.53373930785716,131.8147430419922,1.3143556118011475,-0.32161989808082586,263.0508569341578,2.7720236778288396,0.7703193618397193,0.5328494906425475,0.5562942922115326,71.70401763916016,86.78079863037483,195.97854744544767,60.110725402832024,0.7815061211586,-0.8779141902923584,79.43928547443052,1.7234870195392051,-1.0,618.4214859008789,1530.863214973635
40.89026641845703,-2.9019699096679688,2,51.621803283691406,1.7725689411163328,-1.7378134727478027,156.88315716077827,13.433463096618619,3.0626747012965367,0.5195152759551995,3.018290940915243,-23.65808868408203,126.66899276072722,129.41327506807232,1.86922973678926,-0.42135047912597723,1.8211215178119105,26.88547325134277,62.52470133787937,73.1505365559981,75.27989196777344,1.2530536651611333,1.5270808935165405,142.5882037137009,4.099590301513228,1.522643424015629,-0.9408657550811768,-1.1971694231033325,50.543561935424805,70.13986305271543,71.06984056700009,24.736330032348636,2.19391942024231,2.724250316619873,112.37094815145771,3.214061021804447,-1.0,192.5282917022705,257.0014573887989
32.85845947265625,-0.00372290494851768,3,102.4919662475586,-0.8226912021636963,1.261399269104004,140.3502043582099,18.107311248779297,2.7614216669896847,-0.2028236985206604,2.753962993621826,-77.12084197998047,277.2210465520181,278.296848116652,1.4050045559799453,-0.2762320041656495,-1.3775825500488281,27.597442626953125,114.7430289011078,125.63306851603811,179.61280822753906,-0.6198675036430359,-1.4925637245178223,216.51517663839786,23.475273132324062,2.152891648748362,-0.07340830564498912,2.151639763508932,104.7182846069336,229.41878605922244,241.55711596064145,74.89452362060547,-0.5464591979980468,2.638981819152832,86.46876622945193,4.375431537628044,1.0,389.8577575683594,849.6161463140637
11.844167709350586,-0.861325204372406,0,35.65898132324219,1.2641876935958865,0.5974833369255066,68.68938869503685,8.539395332336426,4.034631994343668,3.19083309173584,2.4691779017448425,-20.101898193359375,86.55594106668993,260.2766856631199,2.84914820819944,2.83531415462494,-0.2804267406463623,-6.269863128662102,12.494768114115727,155.11357487825512,55.76087951660156,-1.9266453981399536,-1.871694564819336,195.5097557893082,1.9840812683087132,2.772493355105424,-0.35551893711090043,-2.749604642391205,13.832035064697273,95.85726791310199,132.0717557632486,41.92884445190429,-1.5711264610290532,0.8779100775718689,105.33101839895242,4.406279563903706,-1.0,145.19287300109863,546.4519873975339
31.765758514404297,-1.9457974433898926,2,46.13072967529297,0.3926588296890259,-0.06792499125003815,50.060753618801854,5.719964027404825,2.443801045907128,-0.40908342599868774,-2.409318223595619,4.058441162109375,82.36949365609937,84.50555835962042,1.7585260377949017,0.5010058134794235,1.6856473535299301,21.05706977844238,54.97124273527264,58.955294671973114,42.072288513183594,0.8017422556877136,2.341393232345581,56.511550323714616,4.474456787109375,2.369929959051872,0.9100892394781113,-2.188219730054037,16.998628616333004,60.168203492263785,72.35346674460217,25.07365989685059,-0.1083469837903976,-1.7535723447799683,25.247615672301887,1.159541130065918,-1.0,145.04243659973145,453.23530752682734
14.048494338989258,2.626138687133789,0,47.119956970214844,-2.145737886428835,-0.7240300178527831,204.25943453719213,6.532505035399834,3.1675697757507444,-0.9920892715454122,3.008198324834005,9.321334838867188,84.73204594548939,167.68250518843882,2.973614649707289,-2.8912316560745257,-0.695099702104926,22.47758483886719,32.311574361792516,221.13640514030374,37.798622131347656,-1.1536486148834226,2.550956964492798,65.89725106500353,1.954225420951956,3.2035230880176986,-1.8991423845291138,2.579887280240655,13.156250000000004,60.10524247283239,95.38381008253255,24.642372131347653,0.7454937696456911,-0.028930315747857097,31.915263442479894,2.5518908500671387,-1.0,123.60944557189941,841.2097697421468
105.3124771118164,0.45881932973861694,2,53.73949432373047,-2.0515866279602037,-0.7366994023323059,212.65060904242063,7.825946807861328,1.7246153197313168,-1.4780520796775805,0.8886281847953796,-207.05463409423828,230.71475484309985,235.5918468305663,1.8116269823278264,-0.009319782257078746,1.8116030097007751,29.64653205871582,63.92152075985722,130.96600341286444,260.79412841796875,-0.5735345482826232,-1.6253275871276855,305.40988789089056,18.051809310912986,1.7346633935421738,1.4687322974205017,0.9229748249053955,236.7011661529541,247.0034835704226,255.82949898483804,24.09296226501465,-2.042266845703125,-2.548302412033081,94.61317254365137,6.076039791107009,1.0,443.9390621185303,1694.9293237892964
