MET(GeV),#phi_{MET},light_jets_multiplicity,pT_{b_{1}}(GeV),#eta_{b_{1}},#phi_{b_{1}},Energy_{b_{1}}(GeV),Mass_{b_{1}}(GeV),#Delta R_{b_{1}#tau_{1}},#Delta #eta_{b_{1}#tau_{1}},#Delta #phi_{b_{1}#tau_{1}},#Delta pT_{b_{1}#tau_{1}}(GeV),#Delta #vec{pT}_{b_{1}#tau_{1}}(GeV),#Delta #vec{p}_{b_{1}#tau_{1}}(GeV),#Delta R_{b_{1}lep_{1}},#Delta #eta_{b_{1}lep_{1}},#Delta #phi_{b_{1}lep_{1}},#Delta pT_{b_{1}lep_{1}}(GeV),#Delta #vec{pT}_{b_{1}lep_{1}}(GeV),#Delta #vec{p}_{b_{1}lep_{1}}(GeV),pT_{#tau_{1}}(GeV),#eta_{#tau_{1}},#phi_{#tau_{1}},Energy_{#tau_{1}}(GeV),Mass_{#tau_{1}}(GeV),#Delta R_{#tau_{1}lep_{1}},#Delta #eta_{#tau_{1}lep_{1}},#Delta #phi_{#tau_{1}lep_{1}},#Delta pT_{#tau_{1}lep_{1}}(GeV),#Delta #vec{pT}_{#tau_{1}lep_{1}}(GeV),#Delta #vec{p}_{#tau_{1}lep_{1}}(GeV),pT_{lep_{1}}(GeV),#eta_{lep_{1}},#phi_{lep_{1}},Energy_{lep_{1}}(GeV),Mass_{lep_{1}}(GeV),Q_{#tau_{1}}Q_{lep_{1}},sT(GeV),mT(GeV)
46.241886138916016,-0.9264037013053895,1,49.02241516113282,2.062981367111206,-2.6030073165893555,196.1175388619703,6.697035312652435,3.259427100056815,2.7300714254379272,-1.7806108593940735,24.38803482055665,59.27140509707728,215.75437475106253,1.0653393506797126,0.275865554809571,1.0290024916278284,16.747352600097663,42.580245046002545,105.11006423251159,24.63438034057617,-0.6670900583267213,-0.822396457195282,30.518321620348047,3.456490993499756,3.7305567463405795,-2.4542058706283565,2.809613351021902,-7.640682220458988,56.141437114846674,124.70603225353938,32.275062561035156,1.787115812301635,2.6511754989624023,99.07877051719183,0.10565837550264347,1.0,152.17374420166016,1218.4007801647806
19.14228630065918,0.9088786244392395,0,34.924713134765625,-1.0818740129470823,-2.1282622814178467,57.8448814410826,6.8611149787903,2.645829791541671,-2.1304975748062134,-1.56888347864151,-9.765693664550781,56.665658962613804,116.27725080738354,3.7270237362160876,-3.1884857416152954,1.9298353830920618,-21.600040435791016,76.17144242744014,284.85972153376713,44.690406799316406,1.0486235618591309,-0.5593788027763367,71.93142366763234,6.9264545440674485,2.9786897030276256,-1.0579881668090825,-2.7844664454460144,-11.834346771240234,99.62800787408428,199.5945071309006,56.52475357055664,2.1066117286682133,2.2250876426696777,235.76450934817765,0.10565837551985922,1.0,155.28215980529785,359.54210005334596
78.71532440185547,2.8585691452026367,2,442.14056396484375,1.2832486629486086,0.3008241355419159,859.3967530423921,27.274848937989347,2.7675704221646384,0.5560181736946109,2.7111417949199677,187.80760192871097,681.585879487732,866.3131008674322,2.4549600646652467,-0.19591760635375932,-2.4471299946308136,292.47259521484375,565.3185897808393,707.26288177296,254.33296203613278,0.7272304892539977,-2.4103176593780518,324.871668625896,13.196861267090394,1.3530845647855727,-0.7519357800483703,1.124913517628805,104.66499328613278,232.9247057210836,257.47316602887804,149.66796875,1.479166269302368,2.7479541301727295,345.51692060716994,0.10565837548542771,1.0,924.856819152832,2428.591915519046
32.625343322753906,-1.6465425491333008,0,80.75755310058594,-1.1507440805435185,1.8811153173446655,141.36911984909824,16.569021224975586,2.3791377556685744,-0.20819228887558028,2.3700110614299774,24.227855682373047,127.52309565954145,138.21892824294054,1.5110258209922744,0.6496336460113517,-1.3642489353763025,40.409149169921875,82.54261067672154,82.63546971573119,56.52969741821289,-0.9425517916679382,-0.4888957440853119,84.06191014889335,9.215357780456543,2.6894024563880903,0.8578259348869319,2.5489253103733063,16.181293487548828,92.77593585090376,109.00752338881213,40.34840393066406,-1.8003777265548702,-3.037821054458618,125.42643255702662,0.00051100037754117,1.0,210.2609977722168,460.2473290910543
37.476192474365234,-2.3271982669830322,1,32.589385986328125,1.7688505649566655,-0.9307130575180054,98.47013528955777,5.20313835144043,3.4836970128272973,2.952609062194824,-1.8488495349884033,3.3523693084716797,49.395720833414565,144.74263729625557,2.9685339498565684,0.5190608501434331,2.922801677380697,-21.34149169921875,86.03462634406021,86.27261274517748,29.237016677856445,-1.183758497238159,0.918136477470398,52.234537665964844,0.8042733669283479,2.86476739372555,-2.4335482120513916,-1.5115340948104858,-24.69386100769043,59.804392151787106,142.7781139119441,53.930877685546875,1.2497897148132324,2.429670572280884,101.82619224302819,0.00051100037754117,-1.0,153.23347282409668,293.8505531159192
72.4843978881836,-1.702880620956421,4,31.18915367126465,0.6350153684616091,-1.5999937057495117,38.188387742032646,6.13876485824585,3.1330048033352202,2.689839720726014,1.6063876787768763,-24.64649009704589,64.91778296011347,244.28253399146504,1.267373714560607,0.23358130455017106,-1.2456628382205963,-14.380937576293945,46.274988138654344,46.33589908972658,55.83564376831054,-2.054824352264405,3.0768039226531982,221.68513634597323,9.339098930358839,3.763960355601559,-2.456258416175843,-2.8520505169974726,10.265552520751946,100.35585350523675,253.80685274681596,45.570091247558594,0.40143406391143804,-0.35433086752891546,49.291460137371985,0.0005109994876245147,1.0,205.07928657531738,637.0010380012299
40.23542785644531,1.2479257583618164,1,77.04549407958984,1.647273182868957,-2.438040018081665,208.05080564371727,15.675428390503045,0.8666932573064542,0.7013423442840571,-0.509191632270813,41.669063568115234,49.27326846913774,161.63370760869302,2.0590209755873965,-0.6784168481826778,1.9440467993365687,-31.527976989746108,154.35275113637508,389.51686272169735,35.37643051147461,0.9459308385849,-1.928848385810852,52.80323135796403,6.354236602783168,2.8146250605563616,-1.379759192466735,2.4532384316073816,-73.19704055786134,137.74016175363607,529.7882698133311,108.57347106933595,2.325690031051635,1.9010984897613525,560.8609883390244,0.10565837589860598,1.0,261.2308235168457,1644.4085870641231
82.2918701171875,-2.5898706912994385,0,55.343868255615234,-1.6022541522979736,0.20447731018066406,143.00099742080053,4.052035808563653,2.272143631300002,-2.2050353288650513,-0.5481385588645935,18.84616470336914,30.773882756506254,158.17432950525605,0.825939810642815,-0.5748649835586548,0.5930487513542175,25.9878044128418,35.07455002449824,102.24615467932348,36.497703552246094,0.6027811765670776,0.7526158690452576,44.4901429037995,10.08710002899171,1.9899155338156493,1.6301703453063965,1.141187310218811,7.14163970947266,36.07391862567689,69.2481524395637,29.356063842773434,-1.0273891687393188,-0.3885714411735535,46.26079028792916,0.00051100037754117,-1.0,203.48950576782227,706.2721647491474
49.5770263671875,1.0567392110824585,2,55.38215637207031,0.12011861801147454,2.127026081085205,56.6665969548146,9.972558021545433,2.702841946617769,-0.08622612059116368,2.701466202735901,6.8257408142089915,101.44289612133471,101.50060327090871,3.3347840912872986,1.5286490917205806,2.9637842178344727,15.900951385498047,94.4992567157659,125.4970821969713,48.55641555786132,0.20634473860263822,-0.5744401216506958,50.41975359511574,9.088761329650879,1.6360417758676444,1.6148752123117442,0.2623180150985718,9.075210571289055,14.612305387291096,87.23441707616954,39.481204986572266,-1.408530473709106,-0.8367581367492676,85.56458216487778,0.10565837550264347,1.0,192.9968032836914,595.3549673957111
68.90057373046875,0.738373339176178,2,36.67036819458008,2.1390557289123513,1.0822837352752686,157.956198800058,5.765809535980047,1.5984438600444903,-0.1519520282745379,1.5912050008773804,-7.484325408935547,57.969288959868116,85.22023241461027,1.9032715564748695,0.8111683130264262,-1.721757411956787,-2.908843994140625,57.85993894962535,102.08943247256079,44.154693603515625,2.291007757186889,-0.5089212656021117,220.74499958109448,11.10127544403072,3.122470950052436,0.9631203413009641,2.9702228943454188,4.575481414794922,83.4276298157819,168.65581851223166,39.5792121887207,1.327887415885925,2.8040411472320557,79.91249067105515,0.10565837549833952,-1.0,189.30484771728516,1349.5138824691576
