,cut,w_jets,z_jets,ww,wz,zz,Tau_LQ_0250,LQ_LQ_0250,Tau_LQ_0500,LQ_LQ_0500,Tau_LQ_0750,LQ_LQ_0750,Tau_LQ_1000,LQ_LQ_1000,Tau_LQ_1250,LQ_LQ_1250,Tau_LQ_1500,LQ_LQ_1500,Tau_LQ_1750,LQ_LQ_1750,Tau_LQ_2000,LQ_LQ_2000,Tau_LQ_2250,LQ_LQ_2250,Tau_LQ_2500,LQ_LQ_2500,ttbar,stop,cut,Tau_LQ_1000_wo_RHC,LQ_LQ_1000_wo_RHC,Tau_LQ_1250_wo_RHC,LQ_LQ_1250_wo_RHC,Tau_LQ_1500_wo_RHC,LQ_LQ_1500_wo_RHC,Tau_LQ_1750_wo_RHC,LQ_LQ_1750_wo_RHC,Tau_LQ_2000_wo_RHC,LQ_LQ_2000_wo_RHC,Tau_LQ_2250_wo_RHC,LQ_LQ_2250_wo_RHC,Tau_LQ_2500_wo_RHC,LQ_LQ_2500_wo_RHC
0,xs,146548.3,43029.27,65.50736,24.69184,9.562416,182.3,937.9,5.944,20.02,0.6093,1.527,0.1029,0.19567,0.02291,0.0330183,0.006099,0.00654102,0.001836,0.001428408,0.0006038,0.000331919,0.0002119,8.02268e-05,7.806e-05,1.997652e-05,504.696,241.17,xs,0.05132095,0.1982092,0.0114448,0.03347837,0.00304724,0.006548228,0.00091653,0.0014225013,0.00030121,0.00033068328,0.00010571,7.9878115e-05,3.895899e-05,1.9879499e-05
1,All_events,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,All_events,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,Exactly one good hadronic tau,0.0229237481499031,0.0188066059238806,0.05475208,0.0480712690355329,0.0418863,0.4377266666666666,0.4200616666666666,0.4372516666666666,0.3995366666666666,0.4373266666666666,0.39543,0.4383633333333333,0.3930616666666666,0.4388633333333333,0.3922566666666666,0.43834,0.390755,0.43784,0.3890883333333333,0.4374333333333333,0.38624,0.437355,0.3856983333333333,0.4377483333333333,0.3842233333333333,0.084343313209022,0.0609415652173913,Exactly one good hadronic tau,0.42723,0.3406025,0.42695,0.33854875,0.42731,0.33635125,0.42734875,0.33370125,0.42726625,0.3319325,0.42665,0.329725,0.42631125,0.32851625
3,At Least one good leptons,0.0003444139312068,0.0006648808261641,0.00636992,0.0045113705583756,0.0038889,0.1014566666666666,0.0879333333333333,0.1218116666666666,0.09864,0.1303183333333333,0.1015166666666666,0.1337183333333333,0.1017666666666666,0.1341833333333333,0.1008733333333333,0.1349083333333333,0.098905,0.13351,0.09772,0.13328,0.09548,0.1327083333333333,0.0948733333333333,0.13182,0.0939816666666666,0.0121667403758138,0.0049843478260869,At Least one good leptons,0.11597,0.072605,0.1151875,0.07082375,0.11335375,0.068045,0.1125675,0.06617375,0.110325,0.0641,0.10884125,0.06267,0.10780875,0.0618975
4,At least two b jet,5.252396011750661e-07,3.2422667075624576e-07,8.56e-06,1.685279187817259e-05,5.61e-05,0.013165,0.0328766666666666,0.018695,0.04239,0.0218533333333333,0.0455016666666666,0.0228166666666666,0.0471733333333333,0.0235066666666666,0.0471533333333333,0.0233833333333333,0.0465516666666666,0.023635,0.0458633333333333,0.023165,0.045065,0.0235183333333333,0.0445783333333333,0.022995,0.0447983333333333,0.0027723004453403,0.0003567826086956,At least two b jet,0.0194925,0.03237375,0.01937,0.031675,0.01925375,0.03052125,0.019275,0.02957625,0.01888875,0.02902625,0.01856625,0.0279575,0.018385,0.02768625
5,nEvents (137/fb),10545.2969783491,1911.3194631325096,76.82179121920001,57.00932236345178,73.49386065120001,328797.1915,4224398.516333332,15223.86196,116264.7486,1824.187332,9518.903165000002,321.653395,1264.5656402666668,73.77966946666666,213.298438122,19.53824815,41.7158674299,5.944958819999999,8.97508265688,1.916222699,2.0492363736950003,0.6827442721666667,0.4899636534753334,0.2459135889,0.1226033278465999,191686.1455419268,11788.20085826087,nEvents (137/fb),137.051185648875,879.0981871245001,30.370951311999995,145.27854965575,8.03789920955,27.380834226765,2.42025785775,5.763898808155124,0.7794588130875,1.3149938911856998,0.2688814453875,0.3059473588154124,0.0981277612675499,0.0754032627488587
