,cut,w_jets,z_jets,ww,wz,zz,Tau_LQ_0250,LQ_LQ_0250,Tau_LQ_0500,LQ_LQ_0500,Tau_LQ_0750,LQ_LQ_0750,Tau_LQ_1000,LQ_LQ_1000,Tau_LQ_1250,LQ_LQ_1250,Tau_LQ_1500,LQ_LQ_1500,Tau_LQ_1750,LQ_LQ_1750,Tau_LQ_2000,LQ_LQ_2000,Tau_LQ_2250,LQ_LQ_2250,Tau_LQ_2500,LQ_LQ_2500,ttbar,stop,cut,Tau_LQ_1000_wo_RHC,LQ_LQ_1000_wo_RHC,Tau_LQ_1250_wo_RHC,LQ_LQ_1250_wo_RHC,Tau_LQ_1500_wo_RHC,LQ_LQ_1500_wo_RHC,Tau_LQ_1750_wo_RHC,LQ_LQ_1750_wo_RHC,Tau_LQ_2000_wo_RHC,LQ_LQ_2000_wo_RHC,Tau_LQ_2250_wo_RHC,LQ_LQ_2250_wo_RHC,Tau_LQ_2500_wo_RHC,LQ_LQ_2500_wo_RHC
0,xs,146548.3,43029.27,65.50736,24.69184,9.562416,182.3,937.9,5.944,20.02,0.6093,1.527,0.1029,0.19567,0.02291,0.0330183,0.006099,0.00654102,0.001836,0.001428408,0.0006038,0.000331919,0.0002119,8.02268e-05,7.806e-05,1.997652e-05,504.696,241.17,xs,0.05132095,0.1982092,0.0114448,0.03347837,0.00304724,0.006548228,0.00091653,0.0014225013,0.00030121,0.00033068328,0.00010571,7.9878115e-05,3.895899e-05,1.9879499e-05
1,All_events,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,All_events,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,At least two good hadronic taus,0.0001225718232923,0.0012357899555874,0.00101472,0.0022405076142131,0.0036301,0.110575,0.0983966666666666,0.1076383333333333,0.0864333333333333,0.108505,0.08432,0.1081133333333333,0.083705,0.1078583333333333,0.0828416666666666,0.1079833333333333,0.08097,0.108015,0.0799783333333333,0.1083966666666666,0.07987,0.1080966666666666,0.0791266666666666,0.1069666666666666,0.0774483333333333,0.0029477624988429,0.0014752173913043,At least two good hadronic taus,0.08864375,0.0561375,0.0886375,0.05522,0.08794,0.05393875,0.08777125,0.0533725,0.08784375,0.0528825,0.0867025,0.05161875,0.0867875,0.051245
3,Exactly one b jet,4.392913028009644e-06,1.675171132240603e-05,4.864e-05,0.0001337055837563,0.0003959,0.0588833333333333,0.046005,0.0579916666666666,0.03825,0.058825,0.03656,0.0591466666666666,0.0358916666666666,0.0587233333333333,0.0354,0.0589833333333333,0.034535,0.05848,0.0337766666666666,0.05857,0.0338083333333333,0.0584033333333333,0.0334866666666666,0.0582216666666666,0.0325133333333333,0.0014216746032562,0.000569304347826,Exactly one b jet,0.0479375,0.02456125,0.04766625,0.02380125,0.047165,0.02311625,0.046895,0.02289,0.04730375,0.0230125,0.046225,0.02221375,0.0464575,0.022025
4,nEvents (137/fb),88197.02927346517,98751.50559517964,436.5200846848,452.2968527269036,518.6491877328,1470617.1383333334,5911288.2615,47224.23793333334,104909.805,4910.3639325,7648.31544,833.808304,962.1403710833334,184.31316463333337,160.13215134,49.28429095,30.94749522090001,14.709591359999996,6.60981994056,4.8449455420000005,1.5373630622583336,1.6954662876666668,0.3680543509786666,0.6226353120999999,0.0889819457432,98299.34752240588,18809.980750434777,nEvents (137/fb),337.0471315656249,666.9524027494999,74.737705626,109.16530639286248,19.690061220200004,20.737755144185,5.888352385949999,4.460864501709,1.9520256676375,1.042549310397,0.6694429307499999,0.2430917693601312,0.2479614070757249,0.059984897270075
