MET(GeV),#phi_{MET},light_jets_multiplicity,pT_{b_{1}}(GeV),#eta_{b_{1}},#phi_{b_{1}},Energy_{b_{1}}(GeV),Mass_{b_{1}}(GeV),#Delta R_{b_{1}b_{2}},#Delta #eta_{b_{1}b_{2}},#Delta #phi_{b_{1}b_{2}},#Delta pT_{b_{1}b_{2}}(GeV),#Delta #vec{pT}_{b_{1}b_{2}}(GeV),#Delta #vec{p}_{b_{1}b_{2}}(GeV),#Delta R_{b_{1}#tau_{1}},#Delta #eta_{b_{1}#tau_{1}},#Delta #phi_{b_{1}#tau_{1}},#Delta pT_{b_{1}#tau_{1}}(GeV),#Delta #vec{pT}_{b_{1}#tau_{1}}(GeV),#Delta #vec{p}_{b_{1}#tau_{1}}(GeV),#Delta R_{b_{1}#tau_{2}},#Delta #eta_{b_{1}#tau_{2}},#Delta #phi_{b_{1}#tau_{2}},#Delta pT_{b_{1}#tau_{2}}(GeV),#Delta #vec{pT}_{b_{1}#tau_{2}}(GeV),#Delta #vec{p}_{b_{1}#tau_{2}}(GeV),pT_{b_{2}}(GeV),#eta_{b_{2}},#phi_{b_{2}},Energy_{b_{2}}(GeV),Mass_{b_{2}}(GeV),#Delta R_{b_{2}#tau_{1}},#Delta #eta_{b_{2}#tau_{1}},#Delta #phi_{b_{2}#tau_{1}},#Delta pT_{b_{2}#tau_{1}}(GeV),#Delta #vec{pT}_{b_{2}#tau_{1}}(GeV),#Delta #vec{p}_{b_{2}#tau_{1}}(GeV),#Delta R_{b_{2}#tau_{2}},#Delta #eta_{b_{2}#tau_{2}},#Delta #phi_{b_{2}#tau_{2}},#Delta pT_{b_{2}#tau_{2}}(GeV),#Delta #vec{pT}_{b_{2}#tau_{2}}(GeV),#Delta #vec{p}_{b_{2}#tau_{2}}(GeV),pT_{#tau_{1}}(GeV),#eta_{#tau_{1}},#phi_{#tau_{1}},Energy_{#tau_{1}}(GeV),Mass_{#tau_{1}}(GeV),#Delta R_{#tau_{1}#tau_{2}},#Delta #eta_{#tau_{1}#tau_{2}},#Delta #phi_{#tau_{1}#tau_{2}},#Delta pT_{#tau_{1}#tau_{2}}(GeV),#Delta #vec{pT}_{#tau_{1}#tau_{2}}(GeV),#Delta #vec{p}_{#tau_{1}#tau_{2}}(GeV),pT_{#tau_{2}}(GeV),#eta_{#tau_{2}},#phi_{#tau_{2}},Energy_{#tau_{2}}(GeV),Mass_{#tau_{2}}(GeV),Q_{#tau_{1}}Q_{#tau_{2}},sT(GeV)
18.90390587,-1.689688921,5,118.0151596,-0.955623746,1.870534778,177.4299244,21.4414978,1.479430029,-0.343926728,1.438898057,67.34951019,122.1549545,156.4715707,1.496973265,0.503237247,1.409851491,23.40644836,138.9240781,152.0157508,2.820451428,1.045122981,2.619668722,38.96573639,190.6576662,246.4594531,50.66564941,-0.611697018,0.431636721,61.9335193,13.50220013,0.847661786,0.847163975,-0.029046565,-43.94306183,43.98905107,165.4540354,1.823095844,1.389049709,1.180770665,-28.3837738,75.96217026,265.0792699,94.60871124,-1.458860993,0.460683286,215.3501961,19.59259605,1.325631125,0.541885734,1.209817231,15.55928802,99.58295165,137.2589061,79.04942322,-2.000746727,-0.749133945,297.9648796,14.46487141,1,361.2428493
55.06707001,-2.112883329,1,107.0201187,-0.100715436,-0.531983197,108.4149984,13.56226254,1.137227707,-0.414503343,1.058996618,23.38034821,98.39374145,105.288591,1.899250063,-0.911620952,-1.66616267,62.95858383,119.5523165,129.8090776,1.635599228,-0.372061588,-1.592719376,70.26808548,113.9142648,115.8142569,83.63977051,0.313787907,-1.590979815,88.2470154,8.956029892,2.770129791,-0.497117609,-2.725159287,39.57823563,125.2106776,125.8939247,2.652055621,0.042441756,-2.651715994,46.88773727,117.350508,118.5163489,44.06153488,0.810905516,1.134179473,60.0469604,9.058912277,0.54453487,0.539559364,0.073443294,7.309501648,7.884131806,30.71023828,36.75203323,0.271346152,1.060736179,38.91274573,7.84689188,1,326.5405273
15.29549789,-2.276024342,0,62.03137207,0.013304511,-2.288620472,63.29848229,12.57479954,1.799059205,-1.782786092,0.241428614,24.25203323,26.90904224,113.1172259,2.825549257,0.766580919,2.719573919,-15.32637787,136.3352681,150.9370377,2.287461949,0.664753238,-2.188740574,2.146759033,108.3438497,116.4383378,37.77933884,1.796090603,-2.530049086,117.1926385,7.306751251,3.555344752,2.549367011,2.478145305,-39.5784111,109.6205354,206.1904859,3.449082639,2.44753933,-2.430169187,-22.1052742,91.87317842,178.0581869,77.35774994,-0.753276408,1.274990916,100.7843765,9.209239006,1.378636512,-0.101827681,1.374870814,17.4731369,88.1289661,90.86034923,59.88461304,-0.651448727,-0.099879898,73.20560989,4.8089118,-1,252.3485718
48.54263306,-2.734188318,1,267.8682861,0.577826619,0.35768348,320.8155714,66.5134201,0.862769268,0.800273046,0.322387751,112.3796082,130.079624,237.2521432,3.040638231,0.190347254,-3.03467441,-120.3474731,655.1783238,655.2446297,2.584825201,-0.324189246,-2.56441468,169.3646698,354.5132121,359.9178945,155.488678,-0.222446427,0.035295729,160.0133747,14.53840637,2.989014242,-0.609925792,2.926123146,-232.7270813,541.1310878,573.2177825,3.098070968,-1.124462292,-2.886802431,56.98506165,252.0380034,286.5201974,388.2157593,0.387479365,-2.890827417,418.4091281,23.90600395,0.697059555,-0.5145365,0.47025973,289.7121429,303.702361,308.2609875,98.50361633,0.902015865,2.92209816,142.81684,20.28915024,-1,958.6189728
32.5643692,-2.352719545,1,77.22021484,-0.46894902,0.726979017,86.82838697,12.87957668,1.625475241,0.885605991,1.363037705,44.26755905,77.45385246,80.52868163,2.939099679,-1.357834339,-2.606643979,-27.7953186,175.9091782,227.1351814,2.009879654,-1.727701247,1.026968658,50.25769234,67.34514495,105.4880499,32.95265579,-1.354555011,-0.636058688,68.23620282,4.33626461,3.222626806,-2.24344033,2.313503623,-72.06287766,129.5946034,210.3823101,2.634827722,-2.613307238,-0.336069047,5.990133286,11.63136329,103.8867138,105.0155334,0.888885319,-2.949562311,150.1971215,16.32373619,2.675263887,-0.369866908,-2.64957267,78.05301094,129.4081464,143.7083768,26.96252251,1.258752227,-0.299989641,51.30209104,0.747121513,1,274.7152958
22.04350853,1.353058338,0,67.81680298,-1.233086348,-3.003447056,126.3735237,5.638957977,2.143218042,0.710182428,-2.022133648,36.79179573,86.0063082,86.00727232,2.821912779,-0.904983997,-2.672862828,12.30675507,119.9893844,148.7674462,1.933185653,-1.309721835,1.421912614,33.85574722,71.19835473,130.2696199,31.02500725,-1.943268776,-0.981313407,110.6490653,5.280001163,1.74132451,-1.615166426,-0.650729179,-24.48504066,36.10272482,94.69025466,3.484354136,-2.019904263,-2.839139044,-2.936048508,64.24589988,126.2529891,55.51004791,-0.32810235,-0.330584228,58.52840401,0.648744464,2.225522513,-0.404737838,-2.188409865,21.54899216,80.11305073,82.85700458,33.96105576,0.076635487,1.857825637,34.80758974,7.171337605,-1,210.3564224
32.61442947,0.285213441,2,43.17090607,0.309129268,2.578773737,45.6797325,6.250238895,2.505537118,1.043991894,2.277673632,12.81019211,66.9925397,76.98639985,3.072986037,-0.850499481,2.952946633,-45.17412567,131.0004435,173.2932327,2.089321738,-0.842348069,1.911992431,8.677600861,63.64015196,72.88994892,30.36071396,-0.734862626,0.301100105,39.46547579,6.454569817,2.011241207,-1.894491374,0.675273001,-57.98431778,67.37566367,165.6933834,1.921458091,-1.886339962,-0.365681201,-4.132591248,12.47255757,74.52104632,88.34503174,1.159628749,-0.374172896,154.8136308,5.726307869,1.040986118,0.008151412,-1.040954202,53.85172653,76.9053131,109.4708006,34.49330521,1.151477337,0.666781306,60.46867651,7.500886917,-1,228.9843864
21.91034889,0.542203486,4,148.0867462,-0.126702309,1.309864759,152.65639,31.94297218,1.838316349,-0.285606325,-1.815994501,100.7014313,166.0778509,168.1590709,3.459694911,-2.128835678,-2.727186743,56.9937439,234.3572169,421.155518,2.832530489,-0.839584172,2.705240726,122.0668564,172.0204261,176.3802263,47.38531494,0.158904016,3.125859261,48.60603285,7.746154308,2.056153144,-1.843229353,-0.911192242,-43.70768738,72.47759618,331.5703889,1.84698661,-0.553977847,-1.76195008,21.36542511,58.23149898,59.5789129,91.09300232,2.002133369,-2.246133804,343.4169348,1.057285547,1.544654765,1.289251506,-0.850757837,65.07311249,76.47905633,320.2198061,26.01988983,0.712881863,-1.395375967,32.95704952,1.637547255,-1,334.4953022
55.45008469,-1.035962939,1,42.43399429,0.69046545,-1.375855684,54.58715874,13.23927689,1.840600481,-1.207490683,-1.389163915,12.14249229,47.47468137,82.19873587,3.62459537,1.930404425,-3.067772865,-26.99027634,111.7865161,180.3931556,0.68411855,0.006928742,0.684083462,10.5175457,26.83424423,28.03830651,30.291502,1.897956133,0.013308231,103.4927954,5.871611595,3.558667407,3.137895107,-1.67860895,-39.13276863,78.6757837,223.0229402,2.402742022,1.214419425,2.073247377,-1.624946594,53.54816205,92.34247007,69.42427063,-1.239938974,1.691917181,130.6223537,12.83579922,3.179211397,-1.923475683,-2.53132898,37.50782204,97.31409258,165.1663209,31.91644859,0.683536708,-2.059939146,40.38020499,7.553956509,-1,229.5163002
87.88261414,2.672315836,2,88.47489166,2.056139469,1.446513653,351.5202244,8.867528915,1.279403242,-0.267112017,1.251208946,27.80344009,90.19929574,96.17347032,2.846160376,0.92516315,2.691598415,10.27115631,162.4936092,282.871549,3.054080979,1.09054476,-2.852739517,61.87600327,114.2233918,330.5833884,60.67145157,2.323251486,0.195304707,312.7305766,6.485918045,1.869824028,1.192275167,1.440389469,-17.53228378,92.5357336,218.7148254,2.56754847,1.357656777,2.179236844,34.07256317,78.95174003,287.8925891,78.20373535,1.130976319,-1.245084763,134.5002422,13.87106705,0.757130451,0.16538161,0.738847375,51.60484695,61.21984133,99.69172291,26.5988884,0.965594709,-1.983932137,40.26322937,4.658403873,-1,341.8315811
