cut,Tau_LQ_1000_wo_RHC,LQ_LQ_1000_wo_RHC,Tau_LQ_1250_wo_RHC,LQ_LQ_1250_wo_RHC,Tau_LQ_1500_wo_RHC,LQ_LQ_1500_wo_RHC,Tau_LQ_1750_wo_RHC,LQ_LQ_1750_wo_RHC,Tau_LQ_2000_wo_RHC,LQ_LQ_2000_wo_RHC,Tau_LQ_2250_wo_RHC,LQ_LQ_2250_wo_RHC,Tau_LQ_2500_wo_RHC,LQ_LQ_2500_wo_RHC
xs,0.05132095,0.1982092,0.01144480,0.03347837,0.00304724,0.006548228,0.00091653,0.0014225013,0.00030121,0.00033068328,0.00010571,7.98781150e-05,3.895899e-05,1.98794990e-05
All_events,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Exactly zero good hadronic taus,0.48412625,0.60326,0.4844125,0.60623125,0.48475,0.60971,0.48488,0.61292625,0.48489,0.615185,0.4866475,0.61865625,0.48690125,0.62023875
At Least two good leptons,0.0401025,0.02610125,0.0396575,0.02489125,0.03892125,0.02381125,0.038015,0.02246375,0.03784375,0.02174375,0.0372475,0.02097125,0.03620125,0.02009125
At least two b jet,0.0068925,0.01188,0.00665625,0.01170125,0.00652625,0.01117625,0.00664625,0.010685,0.00651875,0.01030125,0.00637,0.00990875,0.0061325,0.00948125
nEvents (137/fb),48.460961758875,322.597365552,10.436584649999999,53.6682124438625,2.72452585685,10.026294746345,0.8345337892125001,2.0823214154985,0.2690012381875,0.4666838059197,0.0922520599,0.10843444126485624,0.032731492845975,0.025822102485443747
